;std
BBG000HLJ7M4;0.031
BBG002293PJ4;0.047
BBG000BH0FR6;0.043
BBG004MN1R41;0.043
BBG000BWS3F3;0.037
BBG00Y3XYV94;0.03
BBG006KDCHJ4;0.064
BBG000BS5DR2;0.023
BBG000BDHD29;0.026
BBG00ZHCX1X2;0.026
BBG001R72SR9;0.029
BBG000BFDLV8;0.003
BBG00YQ82275;0.054
BBG002WMH2F2;0.018
BBG000D42FJ0;0.06
BBG000BMWKC5;0.02
BBG000BQHGR6;0.026
BBG000BNSZP1;0.017
BBG000BHJSC4;0.02
BBG000BXK6C5;0.029
BBG005YHY0Q7;0.034
BBG00FH3FM15;0.043
BBG00G4Y2DC1;0.041
BBG000BXQ7R1;0.024
BBG000LJS6B8;0.043
BBG002R1CW27;0.018
BBG000BWSV34;0.028
BBG000G7CDN9;0.029
BBG00HCY3Q67;0.048
BBG000BLMTR3;0.021
BBG004730JJ5;0.013
BBG000BB6KF5;0.016
BBG000QY4ZD0;0.052
BBG000BTNGZ4;0.023
BBG000BR2B91;0.014
BBG000CQCCK6;0.028
BBG0113JGQF0;0.032
BBG000PN9NB9;0.028
BBG000QBR5J5;0.029
BBG00629NGT2;0.074
BBG000FJH8W0;0.016
BBG000DW76Y6;0.022
BBG000BJ81C1;0.014
BBG000BG3445;0.025
BBG000HN7W02;0.018
BBG002PHSYX9;0.034
BBG000BHLYP4;0.019
BBG000BTCH57;0.021
BBG000BLY663;0.052
BBG0015XMW40;0.033
BBG000HXJB21;0.046
BBG000VKG4R5;0.039
BBG000QGWY50;0.082
BBG007GNPYY7;0.028
BBG000BPD168;0.014
BBG000BHLYS1;0.013
BBG000BNNKG9;0.019
BBG000TJM7F0;0.023
BBG000DD3KP1;0.011
BBG000M1R011;0.039
BBG000BDNV95;0.02
BBG00ZGF7771;0.126
BBG000Q1KFH4;0.028
BBG000HD3DW5;0.02
BBG006MDLY05;0.034
BBG002WLDMW5;0.041
BBG000K3BC83;0.032
BBG000TJ6F42;0.141
BBG001Z0Q6T5;0.029
BBG000DWG505;0.014
BBG000Q7GG57;
BBG0064N0ZZ5;0.038
BBG000HS77T5;0.009
BBG000BJQK11;0.004
BBG000C4SKT1;0.043
BBG0022FMPD5;0.048
BBG007KGRPY4;0.055
BBG0029SFXB3;0.021
BBG000GXZ4W7;0.028
BBG000BS1YV5;0.035
BBG000CHPMY5;0.014
BBG00BTK1DT8;0.092
BBG000HT5MG6;0.032
BBG000BWXBC2;0.033
BBG000GQPB11;0.077
BBG000BWHD54;0.025
BBG0059KNH10;0.018
BBG000BKGXQ4;0.019
BBG000BMDBZ1;0.035
BBG00W7FG4V8;0.078
BBG000BR7PK2;0.019
BBG000BH5DV1;0.037
BBG000DPKKK0;0.018
BBG000N26V95;0.054
BBG001QD41M9;0.042
BBG00S4VMQT2;0.108
BBG00L0YTFN8;0.026
BBG000BP3PW7;0.02
BBG000BLH3P8;0.049
BBG000HCXFS4;0.04
BBG000BKQDQ7;0.032
BBG001V9NSB4;0.086
BBG000QDJT53;0.036
BBG000BCBYT2;0.027
BBG000BNDN65;0.025
BBG000CBMH27;0.032
BBG001J1QN87;0.037
BBG000C1HN22;0.016
BBG003D4V951;0.071
BBG00209SZJ7;0.054
BBG000N9MNX3;0.052
BBG000BL0P40;0.013
