;amount_of_sma_rows
BBG000HLJ7M4;2418
BBG002293PJ4;2208
BBG000BH0FR6;2414
BBG004MN1R41;1843
BBG000BWS3F3;2418
BBG00Y3XYV94;174
BBG006KDCHJ4;0
BBG000BS5DR2;2418
BBG000BDHD29;448
BBG00ZHCX1X2;92
BBG001R72SR9;493
BBG000BFDLV8;2417
BBG00YQ82275;38
BBG002WMH2F2;211
BBG000D42FJ0;0
BBG000BMWKC5;2418
BBG000BQHGR6;2418
BBG000BNSZP1;2419
BBG000BHJSC4;2418
BBG000BXK6C5;0
BBG005YHY0Q7;1840
BBG000C6GN04;2417
BBG00FH3FM15;628
BBG00G4Y2DC1;1085
BBG000BXQ7R1;2411
BBG000LJS6B8;2418
BBG002R1CW27;2407
BBG000BWSV34;2417
BBG000G7CDN9;0
BBG00HCY3Q67;813
BBG000BLMTR3;59
BBG004730JJ5;2171
BBG000BB6KF5;2418
BBG000QY4ZD0;448
BBG000BTNGZ4;2418
BBG000BR2B91;2436
BBG000CQCCK6;262
BBG0113JGQF0;2410
BBG000PN9NB9;448
BBG000QBR5J5;2418
BBG00629NGT2;1224
BBG000FJH8W0;310
BBG000DW76Y6;2417
BBG000BJ81C1;2418
BBG000BG3445;2418
BBG000HN7W02;437
BBG002PHSYX9;2221
BBG000BHLYP4;2418
BBG000BTCH57;2418
BBG000BLY663;510
BBG0015XMW40;0
BBG000HXJB21;2418
BBG000VKG4R5;2378
BBG000QGWY50;2052
BBG007GNPYY7;1543
BBG000BPD168;2430
BBG000BHLYS1;2418
BBG000BNNKG9;2418
BBG000TJM7F0;756
BBG000DD3KP1;262
BBG000M1R011;2294
BBG000BDNV95;312
BBG000Q1KFH4;448
BBG00ZGF7771;84
BBG000HD3DW5;312
BBG006MDLY05;1603
BBG002WLDMW5;71
BBG000K3BC83;2418
BBG000TJ6F42;2399
BBG001Z0Q6T5;446
BBG000DWG505;814
BBG000Q7GG57;2401
BBG0064N0ZZ5;1846
BBG000HS77T5;2418
BBG000BJQK11;360
BBG000C4SKT1;2418
BBG0022FMPD5;448
BBG007KGRPY4;0
BBG0029SFXB3;2198
BBG000GXZ4W7;2418
BBG000BS1YV5;2273
BBG000CHPMY5;2418
BBG00BTK1DT8;262
BBG000HT5MG6;448
BBG000BWXBC2;2419
BBG000GQPB11;2418
BBG000BWHD54;2418
BBG0059KNH10;350
BBG000BKGXQ4;262
BBG000BMDBZ1;2418
BBG00W7FG4V8;0
BBG000BR7PK2;59
BBG000BH5DV1;2418
BBG000DPKKK0;312
BBG000N26V95;51
BBG001QD41M9;2418
BBG00S4VMQT2;0
BBG00L0YTFN8;448
BBG000BP3PW7;262
BBG000BLH3P8;448
BBG000HCXFS4;2416
BBG000BKQDQ7;2417
BBG001V9NSB4;2114
BBG000BCBYT2;505
BBG000QDJT53;2418
BBG000BNDN65;2418
BBG000CBMH27;448
BBG001J1QN87;262
