;amount_of_sma_rows
BBG000HLJ7M4;2426
BBG002293PJ4;2216
BBG000BH0FR6;2422
BBG004MN1R41;1851
BBG000BWS3F3;2426
BBG00Y3XYV94;182
BBG006KDCHJ4;0
BBG000BS5DR2;2426
BBG000BDHD29;456
BBG00ZHCX1X2;100
BBG001R72SR9;501
BBG000BFDLV8;2419
BBG00YQ82275;46
BBG002WMH2F2;219
BBG000D42FJ0;0
BBG000BMWKC5;2426
BBG000BQHGR6;2426
BBG000BNSZP1;2427
BBG000BHJSC4;2426
BBG000BXK6C5;0
BBG005YHY0Q7;1852
BBG00FH3FM15;636
BBG00G4Y2DC1;1093
BBG000BXQ7R1;2419
BBG000LJS6B8;2426
BBG002R1CW27;2415
BBG000BWSV34;2425
BBG000G7CDN9;0
BBG00HCY3Q67;821
BBG000BLMTR3;59
BBG004730JJ5;2179
BBG000BB6KF5;2426
BBG000QY4ZD0;456
BBG000BTNGZ4;2426
BBG000BR2B91;2444
BBG000CQCCK6;270
BBG0113JGQF0;2418
BBG000PN9NB9;456
BBG000QBR5J5;2426
BBG00629NGT2;1232
BBG000FJH8W0;318
BBG000DW76Y6;2425
BBG000BJ81C1;2426
BBG000BG3445;2426
BBG000HN7W02;445
BBG002PHSYX9;2229
BBG000BHLYP4;2426
BBG000BTCH57;2426
BBG000BLY663;518
BBG0015XMW40;0
BBG000HXJB21;2426
BBG000VKG4R5;2386
BBG000QGWY50;2060
BBG007GNPYY7;1551
BBG000BPD168;2438
BBG000BHLYS1;2426
BBG000BNNKG9;2426
BBG000TJM7F0;764
BBG000DD3KP1;270
BBG000M1R011;2302
BBG000BDNV95;320
BBG00ZGF7771;92
BBG000Q1KFH4;456
BBG000HD3DW5;320
BBG006MDLY05;1611
BBG002WLDMW5;79
BBG000K3BC83;2426
BBG000TJ6F42;2407
BBG001Z0Q6T5;454
BBG000DWG505;822
BBG000Q7GG57;2409
BBG0064N0ZZ5;1854
BBG000HS77T5;2426
BBG000BJQK11;360
BBG000C4SKT1;2426
BBG0022FMPD5;456
BBG007KGRPY4;0
BBG0029SFXB3;2206
BBG000GXZ4W7;2426
BBG000BS1YV5;2281
BBG000CHPMY5;2426
BBG00BTK1DT8;270
BBG000HT5MG6;456
BBG000BWXBC2;2427
BBG000GQPB11;2426
BBG000BWHD54;2426
BBG0059KNH10;358
BBG000BKGXQ4;270
BBG000BMDBZ1;2426
BBG00W7FG4V8;0
BBG000BR7PK2;59
BBG000BH5DV1;2426
BBG000DPKKK0;320
BBG000N26V95;59
BBG001QD41M9;2426
BBG00S4VMQT2;0
BBG00L0YTFN8;456
BBG000BP3PW7;270
BBG000BLH3P8;456
BBG000HCXFS4;2424
BBG000BKQDQ7;2425
BBG001V9NSB4;2122
BBG000QDJT53;2426
BBG000BCBYT2;513
BBG000BNDN65;2426
BBG000CBMH27;456
BBG001J1QN87;270
BBG000C1HN22;320
BBG003D4V951;0
BBG00209SZJ7;456
BBG000N9MNX3;2452
BBG000BL0P40;179
BBG000DV7MX4;2426
BBG000GQJPZ0;2423
BBG000CSZKR2;2358
BBG000BFS7D3;2426
BBG000BW6P59;2426
BBG000DGLTG5;2426
BBG000BFC848;2426
BBG0136WM1M4;0
BBG000BWNV93;320
BBG000BS5CM9;2426
BBG000D7JKW9;2418
BBG001NFKJ68;1685
BBG0043BYPB8;597
BBG00KHHBMC5;270
BBG000C2YHG9;180
BBG002VZ68Y2;180
BBG005DXJS36;1939
BBG000BY2Y78;2426
BBG000BRXP69;2423
BBG000C1XKF6;318
BBG000FFC0B3;320
BBG00KR691K8;643
BBG006L8G4H1;1840
BBG000F9XKN7;59
BBG001LFLZZ1;180
BBG000BR2040;1866
BBG000QM0RZ4;2426
BBG004S641N5;1987
BBG000DW4Q75;2426
BBG000JLC8L8;2426
BBG00YTS96G2;2422
BBG000BQ87N0;2426
BBG000C19QW1;2424
BBG000BKXYX5;2424
BBG000BQ74K1;2426
BBG00D0Y81M1;2424
BBG000P458P3;320
BBG000C30L48;319
BBG004730ZJ9;2473
BBG00LPTHYD5;577
BBG000F02T51;317
BBG00FQ8T4G3;179
BBG000C4HKK2;2426
BBG0042V6JM8;518
BBG000BB07P9;22
BBG000CGQ4F7;319
BBG000BT3HG5;518
BBG000D7HF89;320
BBG000D9H9F1;2426
BBG000K88H58;2426
BBG000BN8ZK8;456
BBG000BLFNC0;2426
BBG000RMWQD4;365
BBG000BB5792;2426
BBG000BYQ0B1;456
BBG000BBBNC6;2426
BBG000BJ0932;2426
BBG00ZKY1P71;17
BBG00658F3P3;1779
BBG000BL8476;179
BBG000BK28N7;180
BBG000RGM5P1;2426
BBG000RP8V70;2398
BBG00ZQRGW24;57
BBG00475JZZ6;2473
BBG000C3GN47;0
BBG000BPWGR1;2425
BBG000BLN497;2398
BBG000BVMGF2;2426
BBG000NWQ9S5;455
BBG000D2M0Z7;180
BBG00W9LF2G5;59
BBG000BCTLF6;2445
