;profit
BBG000HLJ7M4;-0.34
BBG002293PJ4;-3.19
BBG000BH0FR6;-8.03
BBG004MN1R41;2.59
BBG000BWS3F3;-2.99
BBG00Y3XYV94;-0.92
BBG006KDCHJ4;
BBG000BS5DR2;30.39
BBG000BDHD29;-2.54
BBG00ZHCX1X2;3.33
BBG001R72SR9;-3.58
BBG000BFDLV8;-1.04
BBG00YQ82275;5.19
BBG002WMH2F2;-12.38
BBG000D42FJ0;-0.0
BBG000BMWKC5;23.29
BBG000BQHGR6;-7.06
BBG000BNSZP1;-0.13
BBG000BHJSC4;-0.45
BBG000BXK6C5;
BBG005YHY0Q7;8.49
BBG00FH3FM15;-50.0
BBG00G4Y2DC1;-7.0
BBG000BXQ7R1;11.65
BBG000LJS6B8;1.14
BBG002R1CW27;0.06
BBG000BWSV34;-0.32
BBG000G7CDN9;-0.25
BBG00HCY3Q67;20.71
BBG000BLMTR3;-0.09
BBG004730JJ5;-42.71
BBG000BB6KF5;12.06
BBG000QY4ZD0;-3.27
BBG000BTNGZ4;-5.96
BBG000BR2B91;-0.41
BBG000CQCCK6;-2.3
BBG0113JGQF0;10.38
BBG000PN9NB9;-3.86
BBG000QBR5J5;0.6
BBG00629NGT2;6.26
BBG000FJH8W0;
BBG000BJ81C1;-2.76
BBG000DW76Y6;-2.4
BBG000BG3445;0.49
BBG000HN7W02;-8.96
BBG002PHSYX9;-0.49
BBG000BHLYP4;-0.11
BBG000BTCH57;
BBG000BLY663;35.3
BBG0015XMW40;0.19
BBG000HXJB21;-11.36
BBG000VKG4R5;-0.0
BBG000QGWY50;-0.0
BBG007GNPYY7;33.43
BBG000BPD168;-1.55
BBG000BHLYS1;0.69
BBG000BNNKG9;-13.69
BBG000TJM7F0;11.45
BBG000DD3KP1;-1.44
BBG000M1R011;-0.89
BBG000BDNV95;
BBG000Q1KFH4;-0.17
BBG00ZGF7771;-0.98
BBG000HD3DW5;
BBG006MDLY05;0.14
BBG002WLDMW5;1.46
BBG000K3BC83;-0.69
BBG000TJ6F42;-0.0
BBG001Z0Q6T5;
BBG000DWG505;-0.99
BBG0064N0ZZ5;
BBG000HS77T5;
BBG000BJQK11;
BBG000C4SKT1;21.65
BBG0022FMPD5;-11.86
BBG007KGRPY4;-4.3
BBG0029SFXB3;0.12
BBG000GXZ4W7;0.75
BBG000BS1YV5;
BBG000CHPMY5;0.2
BBG00BTK1DT8;
BBG000HT5MG6;-6.1
BBG000BWXBC2;-0.91
BBG000GQPB11;6.47
BBG000BWHD54;1.48
BBG0059KNH10;-0.83
BBG000BKGXQ4;-0.03
BBG000BMDBZ1;
BBG00W7FG4V8;-2.91
BBG000BR7PK2;-3.48
BBG000BH5DV1;
BBG000DPKKK0;-0.55
BBG000N26V95;
BBG001QD41M9;-12.75
BBG00S4VMQT2;25.81
BBG00L0YTFN8;-1.74
BBG000BP3PW7;-1.65
BBG000BLH3P8;1.56
BBG000HCXFS4;0.17
BBG000BKQDQ7;
BBG001V9NSB4;-0.08
BBG000BCBYT2;-1.26
BBG000QDJT53;0.23
BBG000BNDN65;12.95
BBG000CBMH27;-5.73
BBG001J1QN87;0.77
BBG000C1HN22;-1.7
BBG003D4V951;-1.8
BBG00209SZJ7;
BBG000N9MNX3;-3.85
BBG000BL0P40;
BBG000DV7MX4;
BBG000GQJPZ0;6.1
BBG000CSZKR2;
BBG000BFS7D3;1.48
BBG000BW6P59;-0.16
BBG000DGLTG5;-1.29
BBG000BFC848;1.1
BBG0136WM1M4;-15.49
BBG000BWNV93;-1.02
BBG000BS5CM9;-6.6
BBG000D7JKW9;-7.19
BBG001NFKJ68;-9.05
BBG0043BYPB8;3.11
BBG00KHHBMC5;-18.08
BBG000C2YHG9;-44.16
BBG002VZ68Y2;1.56
BBG005DXJS36;81.39
BBG000BY2Y78;32.29
BBG000BRXP69;-1.65
BBG000C1XKF6;28.2
BBG000FFC0B3;1.49
BBG00KR691K8;
BBG006L8G4H1;
BBG000F9XKN7;-25.51
BBG001LFLZZ1;-1.93
BBG000QM0RZ4;8.21
BBG000BR2040;
BBG004S641N5;-4.93
BBG000DW4Q75;-0.95
BBG000JLC8L8;-9.99
BBG00YTS96G2;-2.23
BBG000BQ87N0;0.17
BBG000C19QW1;-0.2
BBG000BKXYX5;-9.04
BBG000BQ74K1;
BBG00D0Y81M1;-1.55
BBG000P458P3;-2.84
BBG000C30L48;-4.6
BBG004730ZJ9;-0.0
BBG00LPTHYD5;0.0
BBG000F02T51;-1.5
BBG00FQ8T4G3;-1.86
BBG000C4HKK2;-0.29
BBG0042V6JM8;-3.47
BBG000BB07P9;-3.71
BBG000CGQ4F7;-0.67
BBG000BT3HG5;-33.98
BBG000D7HF89;-1.36
BBG000D9H9F1;-3.11
BBG000K88H58;-9.39
BBG000BN8ZK8;-2.9
BBG000BLFNC0;-6.81
BBG000RMWQD4;-0.67
BBG000BB5792;0.0
BBG000BYQ0B1;-12.26
BBG000BBBNC6;
BBG000BJ0932;1.72
BBG00ZKY1P71;5.0
BBG00658F3P3;-0.06
BBG000BL8476;-12.89
BBG000BK28N7;
BBG000RGM5P1;-3.68
BBG000RP8V70;4.39
BBG00ZQRGW24;-0.61
BBG00475JZZ6;-0.0
BBG000C3GN47;-0.0
BBG000BPWGR1;-0.89
BBG000BLN497;
BBG000BVMGF2;1.11
BBG000NWQ9S5;0.28
BBG000D2M0Z7;-0.28
BBG00W9LF2G5;
BBG000BCTLF6;0.0
BBG00R2NHQ65;-4.06
BBG0135B2214;-0.56
BBG000BBPFB9;-5.71
BBG000P5JQX6;-4.65
BBG000BH4R78;-2.21
BBG0026ZDHR0;
BBG000RVD346;0.0
BBG008HNHZ07;-3.65
BBG000B9XRY4;-0.08
BBG00YJKWXD8;-10.79
BBG000NS26Q8;0.0
BBG000BSBZH7;-0.83
BBG00X0VP8D9;-69.96
BBG000BJ5HK0;23.39
BBG00W1PSSJ0;-0.0
BBG0147BN6G2;-0.6
