;profit
BBG000HLJ7M4;17.36
BBG002293PJ4;-40.81
BBG000BH0FR6;26.46
BBG004MN1R41;-46.46
BBG000BWS3F3;3.27
BBG000BS5DR2;80.14
BBG000BFDLV8;30.84
BBG002WMH2F2;11.87
BBG000BMWKC5;36.97
BBG000BQHGR6;22.02
BBG000BNSZP1;21.7
BBG000BHJSC4;4.11
BBG005YHY0Q7;74.0
BBG00FH3FM15;6.41
BBG00G4Y2DC1;6.52
BBG000BXQ7R1;19.33
BBG000LJS6B8;-17.94
BBG002R1CW27;-11.0
BBG000BWSV34;-4.81
BBG00HCY3Q67;14.64
BBG004730JJ5;-51.59
BBG000BB6KF5;39.48
BBG000QY4ZD0;7.86
BBG000BTNGZ4;-17.41
BBG000BR2B91;9.29
BBG0113JGQF0;-33.51
BBG000QBR5J5;-38.65
BBG00629NGT2;-39.7
BBG000BJ81C1;3.17
BBG000DW76Y6;21.52
BBG000BG3445;41.28
BBG000HN7W02;-37.12
BBG002PHSYX9;-35.17
BBG000BHLYP4;13.16
BBG000BTCH57;22.77
BBG000BLY663;-87.05
BBG000HXJB21;-12.6
BBG000VKG4R5;60.0
BBG000QGWY50;-15.1
BBG007GNPYY7;25.71
BBG000BPD168;7.98
BBG000BHLYS1;-7.82
BBG000BNNKG9;12.96
BBG000TJM7F0;13.14
BBG000DD3KP1;8.13
BBG000M1R011;21.34
BBG000Q1KFH4;-25.11
BBG006MDLY05;13.54
BBG000K3BC83;-33.06
BBG000TJ6F42;-25.0
BBG000DWG505;24.28
BBG0064N0ZZ5;29.8
BBG000HS77T5;3.93
BBG000C4SKT1;30.77
BBG0029SFXB3;4.17
BBG000GXZ4W7;16.47
BBG000BS1YV5;-9.41
BBG000CHPMY5;4.09
BBG00BTK1DT8;88.97
BBG000HT5MG6;-0.77
BBG000BWXBC2;-27.36
BBG000GQPB11;28.41
BBG000BWHD54;-19.82
BBG0059KNH10;11.34
BBG000BMDBZ1;-16.39
BBG000BH5DV1;-50.84
BBG001QD41M9;-36.01
BBG000BP3PW7;20.76
BBG000BLH3P8;-8.57
BBG000HCXFS4;-20.38
BBG000BKQDQ7;-2.54
BBG001V9NSB4;56.95
BBG000BCBYT2;13.88
BBG000QDJT53;-12.08
BBG000BNDN65;-24.82
BBG000CBMH27;-11.8
BBG00209SZJ7;34.12
BBG000N9MNX3;-35.09
BBG000DV7MX4;10.34
BBG000GQJPZ0;-125.62
BBG000CSZKR2;8.92
BBG000BFS7D3;-21.42
BBG000BW6P59;9.89
BBG000DGLTG5;-36.95
BBG000BFC848;-15.36
BBG000BS5CM9;3.22
BBG000D7JKW9;11.85
BBG001NFKJ68;-3.04
BBG0043BYPB8;11.62
BBG005DXJS36;-17.19
BBG000BY2Y78;-27.24
BBG000BRXP69;-97.66
BBG000FFC0B3;17.71
BBG00KR691K8;-8.56
BBG006L8G4H1;39.16
BBG000QM0RZ4;-28.73
BBG000BR2040;-51.49
BBG004S641N5;-25.69
BBG000DW4Q75;-3.46
BBG000JLC8L8;-8.18
BBG00YTS96G2;-47.09
BBG000BQ87N0;-0.65
BBG000C19QW1;-2.83
BBG000BKXYX5;-7.44
BBG000BQ74K1;-16.8
BBG00D0Y81M1;20.55
BBG000P458P3;18.12
BBG004730ZJ9;33.33
BBG00LPTHYD5;135.0
BBG000F02T51;-4.61
BBG000C4HKK2;-13.91
BBG0042V6JM8;-11.57
BBG000D9H9F1;6.52
BBG000K88H58;30.52
BBG000BN8ZK8;23.22
BBG000BLFNC0;23.62
BBG000RMWQD4;22.64
BBG000BB5792;-10.05
BBG000BYQ0B1;-0.9
