figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
BBG000QF1Q17;FESH;ДВМП;2012-10-15;5.67;0;1;sma;0;rub
BBG000BPH459;MSFT;Microsoft Corporation;2012-10-16;28.31;0;1;sma;0;usd
BBG000BF8CB6;FIZZ;National Beverage Corp;2012-10-17;6.78;1;0;sma;0;usd
BBG000BLPBL5;AVB;AvalonBay Communities REIT;2012-10-17;132.8;0;1;sma;0;usd
BBG000C8H633;MRO;Marathon Oil;2012-10-17;31.37;1;0;sma;0;usd
BBG000BC4185;HA;Hawaiian Holdings Inc;2012-10-18;5.22;0;1;sma;0;usd
BBG000FQ6PY6;CTXS;Citrix Systems;2012-10-19;49.21;0;1;sma;0;usd
BBG000BMY992;KR;Kroger;2012-10-19;17.14;1;0;sma;0;usd
BBG000PRJ2Z9;SPR;Spirit AeroSystems Holdings;2012-10-19;19.45;0;1;sma;0;usd
BBG000BLZRJ2;MS;Morgan Stanley;2012-10-19;21.4;1;0;sma;0;usd
BBG000BK5S78;GCO;Genesco Inc;2012-10-22;60.3;0;1;sma;0;usd
BBG000NDYB67;GM;General Motors;2012-10-22;30.71;1;0;sma;0;usd
BBG000C2L2L0;JLL;Jones Lang LaSalle Inc;2012-10-23;95.89;1;0;sma;0;usd
BBG000BH1NH9;DE;Deere & Company;2012-10-24;88.83;1;0;sma;0;usd
BBG0016T3GQ0;VC;Visteon Corp;2012-10-24;33.57;1;0;sma;0;usd
BBG000BBD070;HES;Hess;2012-10-24;70.71;1;0;sma;0;usd
BBG00KHY5S69;AVGO;Broadcom;2012-10-24;31.96;0;1;sma;0;usd
BBG000BBL0Y1;ALK;Alaska Air Group;2012-10-24;29.86;1;0;sma;0;usd
BBG000BLF8D2;HRL;Hormel Foods;2012-10-25;21.1;1;0;sma;0;usd
BBG000BDJL83;FDS;FactSet Research Systems Inc;2012-10-25;87.27;0;1;sma;0;usd
BBG000BKFBD7;STT;State Street;2012-10-25;57.6;1;0;sma;0;usd
BBG000BT0CM2;SIVB;SVB Financial Group;2012-10-25;70.17;1;0;sma;0;usd
BBG000H01H92;AMCX;AMC Networks Inc;2012-10-26;64.2;1;0;sma;0;usd
BBG000CH5208;UNH;UnitedHealth;2012-10-26;58.92;1;0;sma;0;usd
BBG000BH3GZ2;YUM;Yum!;2012-10-26;49.55;1;0;sma;0;usd
BBG000KLB4Q1;SWKS;Skyworks Solutions;2012-10-26;22.36;0;1;sma;0;usd
BBG004731354;ROSN;Роснефть;2012-10-29;247.8;1;0;sma;0;rub
BBG00475KKY8;NVTK;НОВАТЭК;2012-10-29;311.6;0;1;sma;0;rub
BBG000BZCKH3;MTD;Mettler Toledo;2012-10-31;224.99;1;0;sma;0;usd
BBG000BCMBG4;FTNT;Fortinet Inc;2012-11-01;18.11;0;1;sma;0;usd
BBG000BCZBF1;SAM;Boston Beer Co Inc The;2012-11-02;145.22;1;0;sma;0;usd
BBG000DQLV23;BMY;Bristol-Myers Squibb;2012-11-02;40.2;1;0;sma;0;usd
BBG000DCCZW2;AGCO;AGCO Corp;2012-11-02;52.81;1;0;sma;0;usd
BBG000BMNBY1;EEFT;Euronet Worldwide Inc;2012-11-05;30.76;1;0;sma;0;usd
BBG000BLRP41;OLED;Universal Display Corp;2012-11-05;32.93;0;1;sma;0;usd
BBG000LD9JQ8;WYNN;Wynn Resorts;2012-11-05;138.84;1;0;sma;0;usd
BBG000BR37X2;PGR;Progressive;2012-11-05;25.58;1;0;sma;0;usd
BBG000C2PW58;BLK;BlackRock;2012-11-07;279.39;1;0;sma;0;usd
BBG000BKQDQ7;ROCK;Gibraltar Industries Inc;2012-11-07;17.49;1;0;sma;0;usd
BBG000BZX1N5;AIZ;Assurant;2012-11-07;47.95;1;0;sma;0;usd
BBG000BB5373;WU;Western Union;2012-11-07;16.21;0;1;sma;0;usd
BBG000BK2F42;FIS;Fidelity National Information;2012-11-07;43.72;1;0;sma;0;usd
BBG000PVGDH9;TTM;Tata Motors;2012-11-09;27.59;1;0;sma;0;usd
BBG000BMDBZ1;JBHT;JB Hunt;2012-11-09;74.9;1;0;sma;0;usd
BBG000BNPS52;TRMB;Trimble Inc;2012-11-09;29.5;1;0;sma;0;usd
BBG000BFL116;FSLR;First Solar;2012-11-12;50.7;1;0;sma;0;usd
BBG000BQVTF5;PCAR;PACCAR;2012-11-12;52.77;1;0;sma;0;usd
BBG000JLC8L8;SSD;Simpson Manufacturing Co Inc;2012-11-13;26.2;1;0;sma;0;usd
BBG000BRW644;EPC;Edgewell Personal Care Co;2012-11-14;72.32;1;0;sma;0;usd
BBG000BHB3M6;DOV;Dover;2012-11-15;52.14;1;0;sma;0;usd
BBG00475K6C3;CHMF;Северсталь;2012-11-19;275.1;0;1;sma;0;rub
BBG000B9ZV28;AMED;Amedisys Inc;2012-11-19;11.43;0;1;sma;0;usd
BBG000BQ8KV2;NUE;Nucor;2012-11-20;45.22;1;0;sma;0;usd
BBG000BLMDQ9;HXL;Hexcel Corp;2012-11-23;33.45;1;0;sma;0;usd
BBG000BGLRN3;LUMN;Lumen Technologies;2012-11-23;35.43;0;1;sma;0;usd
BBG000K4WS65;CVCO;Cavco Industries Inc;2012-11-26;49.47;1;0;sma;0;usd
BBG000BXMFC3;URI;United Rentals;2012-11-27;57.41;1;0;sma;0;usd
BBG000C7LMS8;AZO;AutoZone;2012-11-28;408.83;1;0;sma;0;usd
BBG004S682Z6;RTKM;Ростелеком;2012-11-28;115.25;0;1;sma;0;rub
BBG017BXPZ85;CR;Crane Holdings;2012-11-28;53.7;1;0;sma;0;usd
BBG000R0L5J4;TDC;Teradata;2012-11-28;55.75;0;1;sma;0;usd
BBG000PTLGZ1;LEA;Lear Corp;2012-11-29;54.41;1;0;sma;0;usd
BBG000BHX7N2;EMR;Emerson Electric;2012-11-29;57.75;1;0;sma;0;usd
BBG000BB99S3;SLAB;Silicon Laboratories Inc;2012-11-29;42.78;1;0;sma;0;usd
BBG000BJD1D4;JOBS;51job;2012-11-29;32.62;1;0;sma;0;usd
BBG004S68CV8;VSMO;ВСМПО-АВИСМА;2012-11-30;5801.0;1;0;sma;0;rub
BBG000BBCDZ2;ROK;Rockwell Automation;2012-12-03;85.65;1;0;sma;0;usd
BBG000BJ41X2;NSP;InsperIty Inc;2012-12-03;12.48;1;0;sma;0;usd
BBG000BDXCJ5;CNC;Centene Corporation;2012-12-04;12.43;1;0;sma;0;usd
BBG000HGYNZ9;STLD;Steel Dynamics Inc;2012-12-04;12.94;1;0;sma;0;usd
BBG000BJ0932;MCRI;Monarch Casino & Resort Inc;2012-12-04;15.53;1;0;sma;0;usd
BBG000BC4185;HA;Hawaiian Holdings Inc;2012-12-04;5.82;1;0;sma;0;usd
BBG000BBGQF1;AIR;AAR Corp;2012-12-04;19.4;1;0;sma;0;usd
BBG000BHX7N2;EMR;Emerson Electric;2012-12-05;57.63;1;0;sma;0;usd
BBG000BX57K1;XRAY;Dentsply Sirona;2012-12-05;41.41;1;0;sma;0;usd
BBG000B9XRY4;AAPL;Apple;2012-12-06;15.69;0;1;sma;0;usd
BBG000BLCPY4;HP;Helmerich & Payne;2012-12-06;64.33;1;0;sma;0;usd
BBG000BRVP70;R;Ryder System;2012-12-06;62.67;1;0;sma;0;usd
BBG000BTNGZ4;OMCL;Omnicell Inc;2012-12-07;19.21;1;0;sma;0;usd
BBG000BD2167;ITRI;Itron Inc;2012-12-07;42.3;1;0;sma;0;usd
BBG000G1C210;OFIX;Orthofix Medical Inc;2012-12-07;27.99;0;1;sma;0;usd
BBG000BQPC32;F;Ford;2012-12-07;14.67;1;0;sma;0;usd
