figi;ticker;class_code;isin;lot;currency;klong;kshort;dlong;dshort;dlong_min;dshort_min;short_enabled_flag;name;exchange;ipo_date;issue_size;country_of_risk;country_of_risk_name;sector;issue_size_plan;nominal;trading_status;otc_flag;buy_available_flag;sell_available_flag;div_yield_flag;share_type;min_price_increment;api_trade_available_flag
BBG000HLJ7M4;IDCC;SPBXM;US45867G1013;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;InterDigital;SPB;1981-11-01 00:00:00+00:00;33842244;US;Соединенные Штаты Америки;it;100000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True
BBG002293PJ4;RH;SPBXM;US74967X1037;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;RH;SPB;2012-11-02 00:00:00+00:00;21152191;US;Соединенные Штаты Америки;consumer;180000000;{'currency': 'usd', 'units': 0, 'nano': 100000};1;False;True;True;False;1;{'units': 0, 'nano': 10000000};True
BBG000BH0FR6;SGEN;SPBXM;US81181C1045;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Seagen Inc.;SPB;2001-03-06 00:00:00+00:00;10000000;US;Соединенные Штаты Америки;health_care;0;{'currency': 'usd', 'units': 0, 'nano': 1000000};1;False;True;True;False;1;{'units': 0, 'nano': 10000000};True
BBG004MN1R41;NAVI;SPBXM;US63938C1080;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Navient;SPB;1970-01-01 00:00:00+00:00;263012203;US;Соединенные Штаты Америки;financial;1125000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True
BBG000BWS3F3;WGO;SPBXM;US9746371007;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Winnebago Industries Inc;SPB;1970-01-01 00:00:00+00:00;31659393;US;Соединенные Штаты Америки;consumer;60000000;{'currency': 'usd', 'units': 0, 'nano': 500000000};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True
BBG00Y3XYV94;MDMG;TQBR;US55279C2008;1;rub;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 368100000};{'units': 0, 'nano': 587500000};{'units': 0, 'nano': 205100000};{'units': 0, 'nano': 260000000};True;Мать и дитя;MOEX;1970-01-01 00:00:00+00:00;75130000;RU;Российская Федерация;health_care;0;{'currency': 'usd', 'units': 1, 'nano': 0};1;False;True;True;True;3;{'units': 0, 'nano': 100000000};True
BBG006KDCHJ4;TWST;SPBXM;US90184D1000;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Twist Bioscience;SPB;1970-01-01 00:00:00+00:00;44662970;US;Соединенные Штаты Америки;health_care;100000000;{'currency': 'usd', 'units': 0, 'nano': 10000};1;False;True;True;False;1;{'units': 0, 'nano': 10000000};True
BBG000BS5DR2;RHI;SPBXM;US7703231032;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Robert Half;SPB;1970-01-01 00:00:00+00:00;124261548;US;Соединенные Штаты Америки;industrials;260000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};1;False;True;True;True;1;{'units': 0, 'nano': 10000000};True
BBG000BDHD29;UNVR;SPBXM;US91336L1070;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Univar Solutions Inc;SPB;2013-10-30 00:00:00+00:00;168616579;US;Соединенные Штаты Америки;industrials;2000000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};1;False;True;True;False;1;{'units': 0, 'nano': 10000000};True
BBG00ZHCX1X2;FIXP;TQBR;US33835G2057;1;rub;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 910000000};{'units': 1, 'nano': 890000000};{'units': 0, 'nano': 700000000};{'units': 0, 'nano': 700000000};False;Fix Price Group;MOEX;1970-01-01 00:00:00+00:00;850000000;RU;Российская Федерация;consumer;0;{'currency': 'usd', 'units': 1, 'nano': 0};1;False;True;True;True;4;{'units': 0, 'nano': 100000000};True
