;profit
BBG000HLJ7M4;-8.71
BBG002293PJ4;-47.73
BBG000BH0FR6;32.72
BBG004MN1R41;-60.86
BBG000BWS3F3;3.48
BBG000BS5DR2;75.53
BBG000BFDLV8;23.67
BBG002WMH2F2;10.03
BBG000BMWKC5;34.89
BBG000BQHGR6;18.94
BBG000BNSZP1;22.12
BBG000BHJSC4;-9.57
BBG005YHY0Q7;74.0
BBG00FH3FM15;9.92
BBG00G4Y2DC1;9.08
BBG000BXQ7R1;-10.87
BBG000LJS6B8;-24.84
BBG002R1CW27;-13.33
BBG000BWSV34;-11.99
BBG00HCY3Q67;18.67
BBG004730JJ5;-47.49
BBG000BB6KF5;113.03
BBG000QY4ZD0;6.96
BBG000BTNGZ4;-18.75
BBG000BR2B91;11.27
BBG0113JGQF0;-35.12
BBG000QBR5J5;118.88
BBG00629NGT2;-33.91
BBG000DW76Y6;18.54
BBG000BJ81C1;4.98
BBG000BG3445;-21.0
BBG000HN7W02;-4.98
BBG002PHSYX9;19.13
BBG000BHLYP4;-11.11
BBG000BTCH57;19.62
BBG000BLY663;-87.22
BBG000HXJB21;-10.16
BBG000VKG4R5;60.0
BBG000QGWY50;-12.41
BBG007GNPYY7;-30.5
BBG000BPD168;6.82
BBG000BHLYS1;-4.84
BBG000BNNKG9;24.19
BBG000TJM7F0;15.33
BBG000DD3KP1;9.08
BBG000M1R011;17.33
BBG000Q1KFH4;-22.57
BBG006MDLY05;14.86
BBG000K3BC83;-37.5
BBG000TJ6F42;-25.0
BBG000DWG505;19.36
BBG0064N0ZZ5;26.33
BBG000HS77T5;1.59
BBG000C4SKT1;21.51
BBG0022FMPD5;-17.5
BBG0029SFXB3;4.82
BBG000GXZ4W7;17.96
BBG000BS1YV5;-11.06
BBG000CHPMY5;19.74
BBG00BTK1DT8;89.24
BBG000BWXBC2;13.17
BBG000GQPB11;22.03
BBG000BWHD54;0.56
BBG0059KNH10;11.2
BBG000BMDBZ1;32.82
BBG000BH5DV1;-51.79
BBG001QD41M9;-38.64
BBG000BP3PW7;20.44
BBG000BLH3P8;-11.54
BBG000HCXFS4;-22.32
BBG000BKQDQ7;-4.39
BBG001V9NSB4;55.07
BBG000QDJT53;-15.19
BBG000BCBYT2;13.83
BBG000BNDN65;-31.01
BBG000CBMH27;-9.5
BBG000N9MNX3;-35.09
BBG000BL0P40;4.57
BBG000DV7MX4;29.03
BBG000GQJPZ0;-135.48
BBG000CSZKR2;9.81
BBG000BFS7D3;-18.37
BBG000BW6P59;7.2
BBG000DGLTG5;-36.27
BBG000BFC848;-22.3
BBG000BS5CM9;9.74
BBG000D7JKW9;9.29
BBG001NFKJ68;3.12
BBG0043BYPB8;12.83
BBG005DXJS36;-20.27
BBG000BY2Y78;-36.87
BBG000BRXP69;-86.3
BBG000FFC0B3;18.59
BBG00KR691K8;-14.87
BBG006L8G4H1;39.16
BBG000QM0RZ4;48.07
BBG000BR2040;-46.84
BBG004S641N5;-27.55
BBG000DW4Q75;-1.34
BBG000JLC8L8;-5.21
BBG00YTS96G2;-41.52
BBG000BQ87N0;57.98
BBG000C19QW1;-5.52
BBG000BKXYX5;-8.96
BBG000BQ74K1;-14.46
BBG00D0Y81M1;20.02
BBG004730ZJ9;33.33
BBG00LPTHYD5;-23.23
BBG000C4HKK2;-13.03
BBG0042V6JM8;-14.51
BBG000BT3HG5;9.52
BBG000D9H9F1;-2.55
BBG000K88H58;31.8
BBG000BLFNC0;19.11
BBG000RMWQD4;21.17
BBG000BB5792;-7.21
BBG000BYQ0B1;9.2
BBG000BBBNC6;7.58
BBG000BJ0932;24.21
BBG00658F3P3;-46.57
BBG000RGM5P1;-28.63
BBG000RP8V70;4.06
BBG00475JZZ6;-350.0
BBG000BPWGR1;-4.07
BBG000BLN497;-4.02
BBG000BVMGF2;-9.61
BBG000NWQ9S5;-9.54
BBG000BCTLF6;-21.43
BBG000BBPFB9;-93.68
BBG000BH4R78;-36.23
BBG0026ZDHR0;21.31
BBG000RVD346;10.26
BBG000B9XRY4;-191.05
BBG000BSBZH7;7.52
BBG000BJ5HK0;136.47
BBG001YV1SM4;-8.09
BBG000K3STR7;-7.91
BBG00GX77LW3;-21.86
BBG006Q0HY77;21.78
BBG000BLBVN4;12.57
BBG000BL8804;0.3
BBG000QY3XZ2;-4.2
BBG000C2VBB0;-43.18
BBG001HRFJG4;4.89
BBG000BJSBJ0;-12.1
BBG000BGD7W6;-21.3
BBG000BSLZY7;-19.56
BBG0016XJ8S0;17.6
BBG000BQQ2S6;-66.78
BBG000BNWG87;4.42
BBG009XW2WB8;-12.56
BBG000CL9VN6;34.28
BBG000BFWF13;-63.18
BBG000F4F1N0;-1.87
BBG000BDJL83;-6.6
BBG000BB8SW7;-12.06
BBG005CHLM96;-157.39
BBG0014PFYM2;-166.84
BBG000C0G1D1;14.67
BBG009LM28K6;-17.57
BBG000BQBYR3;-2.91
BBG000BCQ4P6;-22.79
BBG000C8H633;-47.51
BBG000BQ8KV2;43.96
BBG000BFXHL6;-22.66
BBG00HQ77DS2;-25.32
BBG000R8ZVD1;-25.77
BBG000VC0T95;21.59
BBG000GMGNB3;5.43
BBG009H04M17;21.96
BBG000TVRB50;-22.38
BBG000BNPSQ9;-8.48
BBG00JHNJW99;19.22
BBG002ZCK2V9;38.76
BBG00FWP4JW4;17.03
BBG000PV27K3;6.47
BBG000BCJ161;-7.49
BBG000R4Y9C1;47.57
BBG005CPNTQ2;15.93
BBG000N7MZ06;-90.6
BBG001M8HHB7;-3.5
BBG000BNPS52;-31.49
BBG000DQBZJ7;10.48
BBG000PKWCQ7;88.89
BBG00H1CY328;36.45
BBG000BK67C7;26.35
BBG009S39JX6;-75.77
BBG000TRJ294;5.66
BBG000F7RCJ1;70.28
BBG000BQC9V2;-34.06
BBG000BBVJZ8;-37.76
BBG00B6WH9G3;-26.6
BBG0035LY913;-68.03
BBG00B6G7GL7;-11.14
BBG004S68B31;-26.29
BBG000K82ZT8;26.26
BBG00MJDR6J9;-32.49
BBG006B6PVN9;28.9
BBG000CMRVH1;-67.64
BBG000BR2TH3;-2.29
BBG002458LF8;18.14
BBG000BZX1N5;20.0
BBG00GQK3WB5;21.43
BBG000NJGX84;-10.7
BBG000BX57K1;-5.74
BBG000BP0HX7;19.88
BBG000BX5YM0;-23.61
BBG000MM2P62;-28.73
BBG000BWNFZ9;4.12
BBG00212PVZ5;38.43
BBG00JM7QBR6;50.97
BBG000BV0VK7;19.38
BBG000BRJ809;55.52
BBG000BK5DP1;-42.38
BBG000BT5PG5;-73.74
BBG000BHCP19;-55.19
BBG000BS7KS3;21.41
BBG000BQZMH4;36.79
BBG0058KMH30;32.41
BBG000DM2BF3;-89.82
BBG000BTQR96;-15.23
BBG000BBDV81;9.17
BBG000R2YFG7;17.4
BBG000DBD6F6;30.74
BBG000BKLH74;-12.96
BBG0019K04R5;-18.3
BBG000PVGDH9;24.0
BBG000L4M7F1;-5.3
BBG000CSRSG6;-2.73
BBG000HG21Y3;-1.68
BBG00FZYFVC5;28.54
BBG009PH3Q86;-16.17
BBG000BY29C7;69.88
BBG000BLMDQ9;-19.72
BBG009Q036D0;-87.61
BBG000BX3BL3;-0.58
BBG00B8NN386;30.23
BBG000CKGBP2;12.29
BBG000BT13B3;32.78
BBG000F6YP24;-15.15
BBG000BBKZD8;25.17
BBG000BFRF55;62.63
BBG000BLW102;-21.1
BBG002583CV8;-7.97
BBG000BRVKH0;-16.71
BBG001MC8YF7;37.04
BBG003LYCMB1;5.86
BBG000BCWG90;24.04
BBG000BVZP59;-0.68
BBG004RVFCY3;-24.45
BBG000BCGHH7;35.02
BBG000BCWWV0;-29.26
BBG000C2L2L0;126.87
BBG000L8CBX4;6.59
BBG000BKRHQ7;17.42
BBG000C3NTN5;14.59
BBG000R33BD1;-10.74
BBG000BHG9K0;60.93
BBG000C23KJ3;-9.2
BBG000BJP882;14.59
BBG000BNMHS4;2.24
BBG000C46HM9;-98.57
BBG000D9DMK0;-52.75
BBG000BDD940;19.6
BBG000QXWHD1;-34.54
BBG000BDXCJ5;-17.24
BBG005F1DK91;32.88
BBG000FJ0RK9;-2.26
BBG000BLRT07;-30.17
BBG0029SNR63;-13.68
BBG001J2QYS9;35.18
BBG001ZZPQJ6;-46.65
BBG000BQLTW7;-31.81
BBG000HL7499;-41.91
BBG000PCQQL6;19.91
BBG000BB6M98;10.4
BBG0078Y1D92;-34.2
BBG000PRJ2Z9;40.5
BBG000R7XX87;36.05
BBG000SK7JS5;-50.68
BBG000CZWZ05;11.44
BBG000BHTPZ4;4.38
BBG000BR37X2;-14.55
BBG001D8R5D0;-4.85
BBG00R2JZG39;38.52
BBG000C2V3D6;-38.84
BBG000BBCDZ2;-23.9
BBG000GJS7C1;-15.95
BBG000DYGNW7;-12.24
BBG000H01H92;22.99
BBG001MFW6D6;-16.94
BBG000BFLXV3;28.06
BBG000BF6756;-49.92
BBG009T22D49;-48.98
BBG005Y3XWH9;15.91
BBG000BPZVW9;6.07
BBG000BD8ZK0;-6.61
BBG000BBGQF1;18.59
BBG000VG1034;83.33
BBG000DBKR53;18.86
BBG000BC5WJ4;25.29
BBG000BQPC32;-92.36
BBG002B9T6Y1;8.15
BBG004731032;12.27
BBG000BKFZM4;-1.04
BBG000TYXCT9;29.17
BBG000CCFB17;-28.11
BBG000R607Y3;-154.74
BBG000BH1NH9;11.31
BBG000BRNH31;44.51
BBG000BLMY92;-47.87
BBG000BX8DC4;8.58
BBG000D2ZK61;21.15
BBG005DJFD43;17.79
BBG000BM22F5;13.12
BBG000H8LGK2;36.75
BBG000D4LWF6;-7.92
BBG0029KJVB0;-16.58
BBG000B9XG87;-38.4
BBG000QJW156;35.14
BBG000BLGFJ9;-38.52
BBG001KY4N87;11.63
BBG000FQ6PY6;-10.15
BBG000BXRPH1;52.79
BBG0035M2ZB7;25.53
BBG000J6XT05;-12.15
BBG0025Y4RY4;-26.24
BBG0018SLC07;-20.69
BBG000BWPP85;10.14
BBG000BL0T06;-58.33
BBG000BF0672;-2.45
BBG000FRVHB9;-25.21
BBG000BGGBT8;30.02
BBG000BCZBF1;3.05
BBG000FFH4P5;13.07
BBG002YFXL29;-194.3
BBG000BX9WL1;-12.84
BBG00BT7PPY8;48.45
BBG001BBSZV8;-59.06
BBG000BBS2Y0;11.85
BBG000BC1L02;-26.72
BBG000LD9JQ8;19.14
BBG000BT0CM2;-160.02
BBG000BJ49H3;-16.74
BBG000BP0KQ8;-36.39
BBG000BDLCQ0;9.48
BBG000CH5208;25.72
BBG000BJZ7V7;39.57
BBG000PSJMV7;-35.76
BBG000DB3KT1;-14.41
BBG000BCVG28;-37.17
BBG000BW7X97;25.47
BBG000BGLRN3;13.23
BBG000D9KWL9;-15.98
BBG000BRJL00;8.35
BBG000PZ0833;-27.14
BBG000RKXRQ1;14.87
BBG000JWD753;-19.72
BBG0018FQNS6;6.48
BBG000RJ2J04;-3.47
BBG003H0XV18;31.0
BBG000N2HDY5;-48.15
BBG000G9W6L0;-43.12
BBG000C43RR5;-9.47
BBG000HGYNZ9;-173.34
BBG004730N88;-9.12
BBG000BHKYH4;-12.65
BBG000C13CD9;-119.24
BBG000BCLYL9;1.01
BBG000MQ1SN9;-89.94
BBG000BQVTF5;-1.33
BBG000BR85F1;-46.63
BBG000BGYWY6;112.08
BBG000BJD7C2;-14.79
BBG000BS0ZF1;-6.02
BBG000BJ2D31;-30.24
BBG001KFKQM7;-6.53
BBG000DHPN63;16.62
BBG000BB4HM6;-12.03
BBG000CVRFS4;-14.5
BBG000FW5ZL6;48.32
BBG000BVPV84;-2.55
BBG004S689R0;24.25
BBG000D5S4M0;61.81
BBG0056JW5G6;41.85
BBG003BNWBP3;-48.63
BBG004S68JR8;-18.22
BBG0035WV4N9;15.92
BBG000Q4NZ54;14.14
BBG000Q7ZZY2;-26.56
BBG000NL6ZD9;-0.57
BBG000BBD5N1;5.5
BBG005DLMMZ6;21.21
BBG000JH6683;8.17
BBG000BCG930;-12.72
BBG000BC4185;-10.97
BBG000KK3464;7.2
BBG000BXPZB7;5.96
BBG00CBYY6M1;72.25
BBG000BVWZF9;-97.74
BBG000BCTQ65;3.3
BBG000N7MXL8;-87.89
BBG00FN64XT9;-39.01
BBG000BN53G7;-4.9
BBG00HY28K89;-122.31
BBG000BPRN29;-24.73
BBG0039320N9;-3.18
BBG000BM6N47;-36.61
BBG000BH92D1;8.51
BBG000B9YJ35;-29.19
BBG000DMBXR2;-9.56
