figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
BBG000QF1Q17;FESH;ДВМП;2012-10-15;5.7;0;1;sma;0;rub
BBG000BPH459;MSFT;Microsoft Corporation;2012-10-16;28.31;0;1;sma;0;usd
BBG000BF8CB6;FIZZ;National Beverage Corp;2012-10-17;6.71;1;0;sma;0;usd
BBG000BLPBL5;AVB;AvalonBay Communities REIT;2012-10-17;131.89;0;1;sma;0;usd
BBG000C8H633;MRO;Marathon Oil;2012-10-17;30.69;1;0;sma;0;usd
BBG000BC4185;HA;Hawaiian Holdings Inc;2012-10-18;5.22;0;1;sma;0;usd
BBG000FQ6PY6;CTXS;Citrix Systems;2012-10-19;50.11;0;1;sma;0;usd
BBG000PRJ2Z9;SPR;Spirit AeroSystems Holdings;2012-10-19;19.68;0;1;sma;0;usd
BBG000BMY992;KR;Kroger;2012-10-19;17.16;1;0;sma;0;usd
BBG000BLZRJ2;MS;Morgan Stanley;2012-10-19;21.43;1;0;sma;0;usd
BBG000BK5S78;GCO;Genesco Inc;2012-10-22;59.85;0;1;sma;0;usd
BBG000NDYB67;GM;General Motors;2012-10-22;30.45;1;0;sma;0;usd
BBG000C2L2L0;JLL;Jones Lang LaSalle Inc;2012-10-23;94.69;1;0;sma;0;usd
BBG000BBL0Y1;ALK;Alaska Air Group;2012-10-24;30.82;1;0;sma;0;usd
BBG0016T3GQ0;VC;Visteon Corp;2012-10-24;34.5;1;0;sma;0;usd
BBG000BBD070;HES;Hess;2012-10-24;72.18;1;0;sma;0;usd
BBG00KHY5S69;AVGO;Broadcom;2012-10-24;32.53;0;1;sma;0;usd
BBG000BH1NH9;DE;Deere & Company;2012-10-24;85.49;1;0;sma;0;usd
BBG000BLF8D2;HRL;Hormel Foods;2012-10-25;20.58;1;0;sma;0;usd
BBG000BKFBD7;STT;State Street;2012-10-25;57.47;1;0;sma;0;usd
BBG000BT0CM2;SIVB;SVB Financial Group;2012-10-25;69.25;1;0;sma;0;usd
BBG000BDJL83;FDS;FactSet Research Systems Inc;2012-10-25;86.69;0;1;sma;0;usd
BBG000BH3GZ2;YUM;Yum!;2012-10-26;48.95;1;0;sma;0;usd
BBG000H01H92;AMCX;AMC Networks Inc;2012-10-26;63.43;1;0;sma;0;usd
BBG000CH5208;UNH;UnitedHealth;2012-10-26;59.48;1;0;sma;0;usd
BBG000KLB4Q1;SWKS;Skyworks Solutions;2012-10-26;21.95;0;1;sma;0;usd
BBG00475KKY8;NVTK;НОВАТЭК;2012-10-29;311.6;0;1;sma;0;rub
BBG004731354;ROSN;Роснефть;2012-10-29;247.8;1;0;sma;0;rub
BBG000BZCKH3;MTD;Mettler Toledo;2012-10-31;220.76;1;0;sma;0;usd
BBG000BCMBG4;FTNT;Fortinet Inc;2012-11-01;18.18;0;1;sma;0;usd
BBG000BCZBF1;SAM;Boston Beer Co Inc The;2012-11-02;149.5;1;0;sma;0;usd
BBG000DQLV23;BMY;Bristol-Myers Squibb;2012-11-02;40.2;1;0;sma;0;usd
