;profit
BBG000HLJ7M4;7.43
BBG002293PJ4;48.96
BBG000BH0FR6;-32.66
BBG004MN1R41;79.23
BBG000BWS3F3;-1.61
BBG000BS5DR2;-15.96
BBG000BFDLV8;-23.81
BBG000BMWKC5;9.14
BBG000BQHGR6;-34.19
BBG000BNSZP1;-25.94
BBG000BHJSC4;-6.93
BBG005YHY0Q7;-74.0
BBG000C6GN04;33.28
BBG00FH3FM15;-3.06
BBG00G4Y2DC1;-7.19
BBG000BXQ7R1;-21.24
BBG000LJS6B8;24.0
BBG002R1CW27;5.21
BBG000BWSV34;-69.39
BBG00HCY3Q67;-17.65
BBG004730JJ5;49.48
BBG000BB6KF5;46.48
BBG000QY4ZD0;-6.77
BBG000BTNGZ4;19.66
BBG000BR2B91;-8.65
BBG0113JGQF0;34.71
BBG000QBR5J5;38.45
BBG00629NGT2;38.74
BBG000FJH8W0;-9.75
BBG000DW76Y6;-17.28
BBG000BJ81C1;1.71
BBG000BG3445;23.6
BBG000HN7W02;2.41
BBG002PHSYX9;37.35
BBG000BHLYP4;9.3
BBG000BTCH57;-7.98
BBG000HXJB21;12.73
BBG000VKG4R5;-73.33
BBG000QGWY50;16.28
BBG007GNPYY7;40.32
BBG000BPD168;-4.44
BBG000BHLYS1;-24.71
BBG000BNNKG9;-19.63
BBG000TJM7F0;-13.59
BBG000DD3KP1;-7.28
BBG000M1R011;-13.24
BBG000Q1KFH4;29.11
BBG006MDLY05;-19.47
BBG000K3BC83;35.68
BBG000TJ6F42;25.0
BBG000DWG505;-11.67
BBG0064N0ZZ5;-26.9
BBG000HS77T5;-7.63
BBG000C4SKT1;39.08
BBG0022FMPD5;-65.43
BBG0029SFXB3;-2.91
BBG000GXZ4W7;-16.08
BBG000BS1YV5;10.36
BBG000CHPMY5;-3.99
BBG000BWXBC2;-12.14
BBG000GQPB11;64.82
BBG000BWHD54;42.56
BBG0059KNH10;-9.47
BBG000BKGXQ4;-13.5
BBG000BMDBZ1;13.58
BBG000BH5DV1;53.08
BBG001QD41M9;-53.92
BBG000BP3PW7;-10.52
BBG000BLH3P8;13.92
BBG000HCXFS4;20.05
BBG000BKQDQ7;8.09
BBG001V9NSB4;-50.53
BBG000BCBYT2;-14.01
BBG000QDJT53;-12.12
BBG000BNDN65;27.45
BBG00209SZJ7;-36.27
BBG000N9MNX3;35.09
BBG000BL0P40;-5.67
BBG000DV7MX4;-27.97
BBG000GQJPZ0;122.95
BBG000CSZKR2;-15.43
BBG000BFS7D3;2.52
BBG000BW6P59;-10.29
BBG000DGLTG5;37.27
BBG000BFC848;14.57
BBG000BS5CM9;-45.61
BBG000D7JKW9;-14.71
BBG001NFKJ68;-5.12
BBG0043BYPB8;22.75
BBG00KHHBMC5;-35.82
BBG005DXJS36;28.06
BBG000BY2Y78;-0.98
BBG000BRXP69;-19.05
BBG000FFC0B3;-17.88
BBG00KR691K8;1.82
BBG006L8G4H1;-39.16
BBG000QM0RZ4;-25.14
BBG000BR2040;46.9
BBG004S641N5;28.43
BBG000DW4Q75;1.08
BBG000JLC8L8;5.43
BBG00YTS96G2;45.1
BBG000BQ87N0;30.78
BBG000C19QW1;-3.04
BBG000BQ74K1;-20.9
BBG000BKXYX5;41.94
BBG00D0Y81M1;18.76
BBG000P458P3;-16.24
BBG004730ZJ9;57.14
BBG00LPTHYD5;-180.99
BBG000F02T51;7.05
BBG000C4HKK2;16.39
BBG0042V6JM8;11.87
BBG000BT3HG5;-3.56
BBG000D9H9F1;-5.58
BBG000K88H58;-29.73
BBG000BN8ZK8;-31.05
BBG000BLFNC0;33.03
BBG000BB5792;3.26
BBG000BYQ0B1;-16.76
BBG000BBBNC6;-5.31
BBG000BJ0932;-13.0
BBG00658F3P3;-143.76
BBG000BL8476;-8.92
BBG000RGM5P1;39.2
BBG000RP8V70;25.82
BBG00475JZZ6;-11.76
BBG000BPWGR1;2.21
BBG000BLN497;7.66
BBG000BVMGF2;-20.34
BBG000NWQ9S5;7.59
BBG000BCTLF6;27.59
BBG000BBPFB9;121.57
BBG000BH4R78;39.71
BBG0026ZDHR0;-16.52
BBG000RVD346;-9.1
BBG000B9XRY4;191.05
BBG000BSBZH7;-9.51
BBG000BJ5HK0;60.94
BBG001YV1SM4;17.94
BBG000K3STR7;16.48
BBG00GX77LW3;22.09
BBG006Q0HY77;-18.22
BBG000BLBVN4;-18.4
