figi;buy_flag;sell_flag;rsi_float;date
BBG000HLJ7M4;1;0;0.0;date: 2012-01-04 00:00:00
BBG000BWS3F3;1;0;0.0;date: 2012-01-04 00:00:00
BBG000BH0FR6;1;0;0.0;date: 2012-01-04 00:00:00
BBG000BWS3F3;1;0;6.67;date: 2012-01-05 00:00:00
BBG000HLJ7M4;1;0;1.38;date: 2012-01-05 00:00:00
BBG000BH0FR6;1;0;0.15;date: 2012-01-05 00:00:00
BBG000BH0FR6;1;0;15.42;date: 2012-01-06 00:00:00
BBG000BWS3F3;1;0;6.44;date: 2012-01-06 00:00:00
BBG000HLJ7M4;1;0;1.38;date: 2012-01-06 00:00:00
BBG000HLJ7M4;1;0;2.73;date: 2012-01-09 00:00:00
BBG000BH0FR6;1;0;19.23;date: 2012-01-09 00:00:00
BBG000BWS3F3;1;0;6.19;date: 2012-01-09 00:00:00
BBG000BWS3F3;1;0;7.6;date: 2012-01-10 00:00:00
BBG000HLJ7M4;1;0;5.94;date: 2012-01-10 00:00:00
BBG000BH0FR6;1;0;18.42;date: 2012-01-10 00:00:00
BBG000BH0FR6;1;0;26.82;date: 2012-01-11 00:00:00
BBG000BWS3F3;1;0;11.17;date: 2012-01-11 00:00:00
BBG000HLJ7M4;1;0;5.77;date: 2012-01-11 00:00:00
BBG000HLJ7M4;1;0;5.75;date: 2012-01-12 00:00:00
BBG000BH0FR6;1;0;28.0;date: 2012-01-12 00:00:00
BBG000BWS3F3;1;0;13.32;date: 2012-01-12 00:00:00
BBG000BWS3F3;1;0;12.99;date: 2012-01-13 00:00:00
BBG000HLJ7M4;1;0;5.59;date: 2012-01-13 00:00:00
BBG000BH0FR6;1;0;23.68;date: 2012-01-13 00:00:00
BBG000BH0FR6;1;0;23.68;date: 2012-01-16 00:00:00
BBG000HLJ7M4;1;0;5.59;date: 2012-01-16 00:00:00
BBG000BWS3F3;1;0;12.99;date: 2012-01-16 00:00:00
BBG000BH0FR6;1;0;23.68;date: 2012-01-17 00:00:00
BBG000HLJ7M4;1;0;5.59;date: 2012-01-17 00:00:00
BBG000BWS3F3;1;0;12.99;date: 2012-01-17 00:00:00
BBG000HLJ7M4;1;0;16.39;date: 2012-01-18 00:00:00
BBG000BWS3F3;1;0;18.48;date: 2012-01-18 00:00:00
BBG000BH0FR6;1;0;23.08;date: 2012-01-18 00:00:00
BBG000BWS3F3;1;0;26.05;date: 2012-01-19 00:00:00
BBG000BH0FR6;1;0;28.35;date: 2012-01-19 00:00:00
BBG000HLJ7M4;1;0;22.89;date: 2012-01-19 00:00:00
BBG000BH0FR6;1;0;27.52;date: 2012-01-20 00:00:00
BBG000BWS3F3;1;0;24.8;date: 2012-01-20 00:00:00
BBG000HLJ7M4;1;0;22.76;date: 2012-01-20 00:00:00
BBG000BH0FR6;1;0;26.85;date: 2012-01-23 00:00:00
BBG000HLJ7M4;1;0;21.0;date: 2012-01-23 00:00:00
BBG000BWS3F3;1;0;26.25;date: 2012-01-23 00:00:00
BBG000HLJ7M4;1;0;14.33;date: 2012-01-24 00:00:00
BBG000BH0FR6;1;0;27.33;date: 2012-01-24 00:00:00
BBG000BWS3F3;1;0;28.41;date: 2012-01-24 00:00:00
BBG000HLJ7M4;1;0;14.92;date: 2012-01-25 00:00:00
BBG000BWS3F3;1;0;30.15;date: 2012-01-25 00:00:00
BBG000HLJ7M4;1;0;15.98;date: 2012-01-26 00:00:00
BBG000BWS3F3;1;0;29.24;date: 2012-01-26 00:00:00
BBG000HLJ7M4;1;0;21.87;date: 2012-01-27 00:00:00
BBG000HLJ7M4;1;0;21.48;date: 2012-01-30 00:00:00
BBG000HLJ7M4;1;0;21.15;date: 2012-01-31 00:00:00
BBG000HLJ7M4;1;0;25.78;date: 2012-04-27 00:00:00
BBG000HLJ7M4;1;0;25.78;date: 2012-04-28 00:00:00
BBG000HLJ7M4;1;0;25.78;date: 2012-04-30 00:00:00
BBG000HLJ7M4;1;0;24.66;date: 2012-05-01 00:00:00
BBG000HLJ7M4;1;0;23.6;date: 2012-05-02 00:00:00
BBG000HLJ7M4;1;0;22.78;date: 2012-05-03 00:00:00
BBG000HLJ7M4;1;0;27.13;date: 2012-06-04 00:00:00
BBG000BH0FR6;0;1;72.02;date: 2012-06-15 00:00:00
BBG000BWS3F3;0;1;71.47;date: 2012-06-18 00:00:00
BBG000BH0FR6;0;1;72.79;date: 2012-06-18 00:00:00
BBG000BH0FR6;0;1;73.12;date: 2012-06-19 00:00:00
BBG000BWS3F3;0;1;73.78;date: 2012-06-21 00:00:00
BBG000BH0FR6;0;1;71.85;date: 2012-06-27 00:00:00
BBG000BWS3F3;0;1;72.01;date: 2012-07-03 00:00:00
BBG000BWS3F3;0;1;72.01;date: 2012-07-04 00:00:00
BBG000BWS3F3;0;1;72.01;date: 2012-07-05 00:00:00
BBG000BWS3F3;0;1;72.53;date: 2012-07-17 00:00:00
BBG000HLJ7M4;0;1;70.58;date: 2012-08-09 00:00:00
BBG000HLJ7M4;0;1;69.94;date: 2012-08-28 00:00:00
BBG000HLJ7M4;0;1;72.76;date: 2012-08-29 00:00:00
BBG000HLJ7M4;0;1;70.13;date: 2012-09-07 00:00:00
BBG000HLJ7M4;0;1;70.13;date: 2012-09-08 00:00:00
