figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
BBG000QF1Q17;COST;Costco Wholesale;2012-10-15;5.8;0;1;sma;0;usd
BBG000BPH459;DHI;D.R. Horton;2012-10-16;28.31;0;1;sma;0;usd
BBG000BLPBL5;WIX;Wix.com Ltd;2012-10-17;133.7;0;1;sma;0;usd
BBG000BF8CB6;CRMT;America's Car-Mart Inc TX;2012-10-17;6.76;1;0;sma;0;usd
BBG000C8H633;MRO;Marathon Oil;2012-10-17;29.85;1;0;sma;0;usd
BBG000BC4185;ZD;Ziff Davis;2012-10-18;5.4;0;1;sma;0;usd
BBG000BMY992;MKTX;MarketAxess Holdings Inc;2012-10-19;17.33;1;0;sma;0;usd
BBG000PRJ2Z9;AVT;Avnet;2012-10-19;19.8;0;1;sma;0;usd
BBG000BLZRJ2;NDAQ;Nasdaq;2012-10-19;21.61;1;0;sma;0;usd
BBG000FQ6PY6;PXD;Pioneer Natural Resources;2012-10-19;54.0;0;1;sma;0;usd
BBG000NDYB67;CMG;Chipotle Mexican Grill;2012-10-22;29.25;1;0;sma;0;usd
BBG000BK5S78;ADS@DE;Adidas;2012-10-22;58.71;0;1;sma;0;eur
BBG000C2L2L0;BOH;Bank of Hawaii;2012-10-23;93.96;1;0;sma;0;usd
BBG000BBD070;HYLN;Hyliion Holdings Corp.;2012-10-24;70.99;1;0;sma;0;usd
BBG00KHY5S69;EVK@DE;Evonik Industries AG;2012-10-24;32.63;0;1;sma;0;eur
BBG0016T3GQ0;IPG;IPG;2012-10-24;33.16;1;0;sma;0;usd
BBG000BBL0Y1;WST;West Pharmaceutical Services I;2012-10-24;30.33;1;0;sma;0;usd
BBG000BH1NH9;XP;XP Inc;2012-10-24;85.12;1;0;sma;0;usd
BBG000BDJL83;PKG;Packaging Corp of America;2012-10-25;86.3;0;1;sma;0;usd
BBG000BLF8D2;LOPE;Grand Canyon Education Inc;2012-10-25;20.62;1;0;sma;0;usd
BBG000BKFBD7;AVIR;Atea Pharmaceuticals;2012-10-25;58.15;1;0;sma;0;usd
BBG000BT0CM2;BWA;BorgWarner;2012-10-25;71.6;1;0;sma;0;usd
BBG000BH3GZ2;ESAB;ESAB Corporation;2012-10-26;48.98;1;0;sma;0;usd
BBG000H01H92;AMCX;AMC Networks Inc;2012-10-26;63.1;1;0;sma;0;usd
BBG000KLB4Q1;TPH;Tri Pointe Homes, Inc.;2012-10-26;22.7;0;1;sma;0;usd
BBG000CH5208;DASH;DoorDash;2012-10-26;59.93;1;0;sma;0;usd
BBG004731354;NKNC;Нижнекамскнефтехим;2012-10-29;247.8;1;0;sma;0;rub
BBG00475KKY8;IBP;Installed Building Products;2012-10-29;318.11;0;1;sma;0;usd
BBG000BZCKH3;MTD;Mettler Toledo;2012-10-31;215.25;1;0;sma;0;usd
BBG000BCMBG4;RSKD;Riskified;2012-11-01;18.7;0;1;sma;0;usd
BBG000DQLV23;CVNA;Carvana Co;2012-11-02;40.1;1;0;sma;0;usd
BBG000BCZBF1;CSL;Carlisle Companies Incorporated;2012-11-02;147.91;1;0;sma;0;usd
